Pre-test	Quiz 1	Quiz 2	Midterm 	Quiz 3	Quiz 4	Final
56	49	95	64	78	72	90
58	66	82	100		79	91
63	45	61	100	83	48	87
50	44	100	92	45	69	78
58	64	81	59	64		97
61	56	57	100	75	44	87
63	58	56	80	40	56	85
67	64	79	72	76	75	90
	72	62	100	80	89	89
56	50	68	68	45	62	91
64	52	78	75			100
60	50	78	74	56	70	87
	64	93	70	100	81	98
55	38	34	76	100	100	100
57	54	53		100	53	83
	60	82	71	74	35	94
		71	47	69	68	88
56	53	67	99	100	57	93
61	63	80		79	49	90
54	57	95	39	78	84	86
50	59	87	78	100	82	93
	83	64	100	52		86
60	60	51	91	87	71	76
61	60	76	99	79	2	95
57	55	61	84	80	18	92
	60	85	43	48	31	85
59	59	80	68	93		94
	69	77	65	82	47	84
63	56	64	69	64	82	90
57	66	81	98	88	77	91
63	79	66	43	76	68	93
	68	75	95	100	30	92
63	51	50	86	80	100	98
60	70	92	94	97	24	90
59	63	84	92	56	63	89
		83	89	90	81	91
		81	41	57	47	100
55	41	66	89	70	68	80
54	49	55	65	47	29	88
	63	47	100	100	100	93
56	58	71	70	100	88	98
55	61	69	66	63		92
	51	81	63	92		89
68	77	65	100	99	56	81
63	61	89	94	94	35	92
61	71	58	97	100	69	100
54	54	93	100	100	63	92
61	41	81	95	37	52	88
		89	80	82	87	95
		58	78	98	30	93
